lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,33,all,5,0.001,0,0.555,0.9902,0.9676,0.7549,0.6313,0.9279,0.0034,0.1832,0.6716,18
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,5,all,5,0.001,1,0.5455,0.9915,0.9684,0.7773,0.6358,0.9323,0.0051,0.2065,0.6517,16
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,5,all,5,0.001,1,0.5502,0.99,0.9672,0.75,0.6262,0.9254,0.0021,0.2354,0.6502,20
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,33,all,5,0.001,0,0.5662,0.9902,0.9682,0.7585,0.6395,0.9243,0.0035,0.1807,0.6681,25
facebook/esm2_t33_650M_UR50D,1,6,0,valid_mcc,33,all,5,0.001,1,0.5375,0.9907,0.9672,0.759,0.6227,0.9137,0.0044,0.178,0.6597,17
facebook/esm2_t33_650M_UR50D,2,6,0,valid_mcc,33,all,5,0.001,1,0.5805,0.9892,0.968,0.7459,0.6419,0.9301,0.0036,0.1795,0.6504,19
facebook/esm2_t33_650M_UR50D,3,6,0,valid_mcc,33,all,5,0.001,1,0.5758,0.9885,0.9671,0.7323,0.6327,0.9316,0.0043,0.19,0.6623,21
facebook/esm2_t33_650M_UR50D,4,4,0,valid_mcc,33,all,5,0.001,0,0.5072,0.9935,0.9683,0.8092,0.626,0.918,0.0048,0.1901,0.676,29
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,33,all,5,0.001,1,0.3333,0.9936,0.9594,0.7385,0.4794,0.8899,0.0106,0.3058,0.4729,16
facebook/esm2_t33_650M_UR50D,1,4,0,valid_mcc,5,all,5,0.001,0,0.5199,0.9935,0.9689,0.813,0.6357,0.9273,0.0003,0.2342,0.6594,22
facebook/esm2_t33_650M_UR50D,1,6,0,valid_mcc,5,all,5,0.001,1,0.4896,0.9933,0.9672,0.7995,0.6107,0.9221,0.0035,0.2133,0.6548,17
facebook/esm2_t33_650M_UR50D,2,4,0,valid_mcc,5,all,5,0.001,0,0.571,0.9884,0.9668,0.7291,0.6284,0.9342,0.0205,0.1392,0.6398,11
facebook/esm2_t33_650M_UR50D,2,6,0,valid_mcc,5,all,5,0.001,1,0.5933,0.9856,0.9653,0.6927,0.6231,0.9246,0.003,0.195,0.6486,17
facebook/esm2_t33_650M_UR50D,3,6,0,valid_mcc,5,all,5,0.001,1,0.5614,0.9894,0.9672,0.7426,0.6293,0.9301,0.0034,0.1921,0.6631,16
facebook/esm2_t33_650M_UR50D,4,6,0,valid_mcc,5,all,5,0.001,1,0.6029,0.9861,0.9662,0.7026,0.6333,0.9378,0.0494,0.1078,0.6229,9
facebook/esm2_t33_650M_UR50D,3,4,0,valid_mcc,5,all,5,0.001,0,0.5582,0.9896,0.9673,0.7463,0.6291,0.9423,0.0031,0.2385,0.6628,27
