param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
19,0.5391,0.9925,0.969,0.7972,0.6408,0.9062,0.0001,0.2549,0.6716,29
20,0.5598,0.9921,0.9697,0.7941,0.6521,0.9389,0.0131,0.1297,0.6762,13
20,0.6364,0.9854,0.9673,0.7037,0.6521,0.9322,0.0073,0.1649,0.6789,18
20,0.5965,0.9885,0.9682,0.7391,0.6478,0.9388,0.0661,0.097,0.6703,8
20,0.6491,0.9871,0.9696,0.7333,0.6741,0.9364,0.0181,0.1143,0.6754,12
20,0.5423,0.9935,0.9701,0.8193,0.6525,0.9322,0.0067,0.1571,0.6797,20
20,0.6093,0.9891,0.9694,0.7535,0.662,0.934,0.0098,0.1395,0.6877,13
20,0.5598,0.991,0.9687,0.7731,0.6425,0.9352,0.012,0.1486,0.6827,13
20,0.5582,0.9905,0.9681,0.7625,0.6367,0.9329,0.0171,0.1289,0.6648,12
20,0.6507,0.9853,0.9679,0.7071,0.6615,0.9228,0.0081,0.1529,0.6688,15
20,0.6236,0.9881,0.9692,0.7405,0.6637,0.9393,0.0208,0.1167,0.6764,11
20,0.622,0.9906,0.9715,0.7831,0.6835,0.9448,0.0105,0.1522,0.6768,15
20,0.6204,0.9863,0.9674,0.7125,0.6479,0.937,0.0074,0.1373,0.6853,17
20,0.6427,0.986,0.9682,0.7145,0.6611,0.9379,0.023,0.1205,0.6639,11
20,0.6029,0.9884,0.9684,0.7397,0.6517,0.9178,0.0045,0.1547,0.6805,19
20,0.5821,0.9885,0.9675,0.7344,0.6373,0.9372,0.0086,0.1511,0.6633,15
21,0.6236,0.9882,0.9693,0.7419,0.6644,0.9332,0.0112,0.1284,0.6796,18
21,0.5774,0.9901,0.9687,0.7605,0.647,0.9336,0.0016,0.1614,0.6757,22
21,0.5949,0.9903,0.9698,0.7707,0.662,0.9338,0.008,0.14,0.6805,18
21,0.5582,0.9934,0.9708,0.8216,0.6634,0.9252,0.0018,0.1702,0.6831,23
21,0.6108,0.9902,0.9705,0.7722,0.6719,0.9393,0.0052,0.1379,0.6799,20
